Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Canada,787.0,2157.0,309.0,65.0,40.0,92.0,54.0,282.0,799.0,214.0,748.0,1108.0,37.0,83.0,32.0,20.0,197.0,,88.0,,,1.3973220960365944,7113.397322096037
Turkmenistan,15.0,24.0,0.0,14.0,27.0,13.0,,31.0,61.0,143.0,241.0,562.0,,472.0,798.0,,1661.0,680.0,1124.0,764.0,,1.2402201242551643,6631.240220124255
Lithuania,19.0,45.0,53.0,39.0,45.0,67.0,62.0,64.0,87.0,74.0,82.0,81.0,74.0,101.0,279.0,284.0,226.0,466.0,4377.0,,,2.863528102101818,6527.863528102102
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,3244.0,,,,2972.0,,2.3381784514744535,6218.338178451474
Serbia,13.0,37.0,40.0,41.0,63.0,64.0,584.0,63.0,40.0,262.0,277.0,80.0,52.0,93.0,334.0,362.0,1062.0,473.0,1215.0,932.0,,1.2175686871944595,6088.217568687194
Australia,634.0,806.0,800.0,633.0,187.0,216.0,195.0,145.0,89.0,164.0,286.0,579.0,,240.0,106.0,76.0,68.0,113.0,212.0,178.0,,0.8302168577380581,5727.830216857738
United Arab Emirates (the),104.0,,,,354.0,,377.0,,396.0,,477.0,,,222.0,248.0,333.0,352.0,423.0,732.0,1236.0,,0.6712989735571824,5254.671298973557
Rwanda,2154.0,,1809.0,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,1.5579740134507747,3964.557974013451
Slovakia,13.0,29.0,203.0,1707.0,1559.0,218.0,5.0,2.0,2.0,5.0,5.0,5.0,17.0,10.0,14.0,24.0,11.0,20.0,32.0,44.0,,2.5258302350552606,3927.5258302350553
Germany,534.0,652.0,741.0,699.0,837.0,,,,,,,,,,,,,,,,,0.16148568005536618,3463.161485680055
Lebanon,117.0,199.0,486.0,1496.0,2.0,14.0,12.0,12.0,28.0,135.0,229.0,217.0,68.0,14.0,54.0,28.0,184.0,39.0,23.0,67.0,,1.946184473242221,3425.9461844732423
Côte d'Ivoire,3248.0,,,,,,,,,,,,,,,,,0.0,,,,1.414213562373095,3249.414213562373
Libya,,,,,,,111.0,,,746.0,464.0,145.0,107.0,221.0,189.0,,651.0,515.0,,,,0.7061718648179238,3149.706171864818
Nicaragua,3.0,2.0,82.0,29.0,44.0,35.0,4.0,1.0,52.0,103.0,108.0,141.0,151.0,219.0,0.0,242.0,261.0,321.0,1081.0,,,1.6228324687297198,2880.62283246873
Panama,142.0,47.0,110.0,132.0,108.0,165.0,134.0,111.0,81.0,154.0,0.0,207.0,205.0,203.0,112.0,112.0,,482.0,303.0,,,0.6751762849936059,2808.6751762849935
Qatar,224.0,21.0,20.0,21.0,13.0,289.0,382.0,368.0,151.0,407.0,,223.0,185.0,140.0,,96.0,80.0,69.0,65.0,,,0.8266680172046729,2754.8266680172046
New Zealand,442.0,1337.0,20.0,13.0,18.0,23.0,26.0,52.0,14.0,21.0,,75.0,48.0,62.0,45.0,57.0,64.0,50.0,50.0,56.0,,2.358179031418506,2475.3581790314183
Ethiopia,,,,,,,,,,,,,,,,,,,,2301.0,,,2301.0
Netherlands (the),73.0,46.0,71.0,88.0,39.0,204.0,398.0,610.0,562.0,73.0,,,,,,,,,,,,1.0295700679046818,2165.029570067905
Fiji,0.0,,,,,,,,0.0,0.0,0.0,827.0,1020.0,,20.0,14.0,14.0,4.0,,,,2.0504219388180007,1901.050421938818
Costa Rica,127.0,54.0,75.0,,0.0,0.0,30.0,1.0,17.0,25.0,0.0,0.0,,46.0,66.0,282.0,,298.0,419.0,432.0,,1.3571182237032682,1873.3571182237033
Cuba,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,4.0,11.0,267.0,882.0,346.0,279.0,0.0,0.0,0.0,0.0,0.0,,2.3446532702268783,1792.344653270227
Croatia,24.0,15.0,33.0,29.0,,35.0,95.0,86.0,37.0,56.0,110.0,74.0,66.0,155.0,84.0,72.0,101.0,116.0,152.0,175.0,,0.5887097675190063,1515.588709767519
Hungary,1.0,1.0,1.0,6.0,2.0,8.0,4.0,5.0,0.0,5.0,14.0,16.0,30.0,72.0,100.0,108.0,98.0,183.0,223.0,186.0,,1.3601232445708094,1064.3601232445708
Gabon,,,,,,,,,,,,,,,,,,934.0,0.0,,,1.414213562373095,935.4142135623731
Estonia,6.0,6.0,4.0,3.0,10.0,12.0,4.0,8.0,13.0,11.0,14.0,18.0,17.0,29.0,132.0,35.0,36.0,45.0,63.0,409.0,,2.079740544009618,877.0797405440096
Bahrain,12.0,15.0,24.0,36.0,21.0,59.0,29.0,18.0,46.0,16.0,77.0,91.0,22.0,87.0,35.0,35.0,0.0,21.0,167.0,48.0,,0.8962351770097333,859.8962351770098
Micronesia (Federated States of),0.0,23.0,0.0,0.0,0.0,,,,684.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,3.480444838792207,710.4804448387922
Kuwait,,,,32.0,76.0,45.0,61.0,62.0,91.0,,,,,87.0,85.0,,,,76.0,90.0,,0.28520085156547287,705.2852008515655
Mozambique,,0.0,,0.0,,,,,,,0.0,0.0,,,,,651.0,,,,,2.2360679774997894,653.2360679774998
Sweden,21.0,32.0,22.0,23.0,21.0,44.0,33.0,38.0,24.0,34.0,52.0,46.0,60.0,81.0,30.0,8.0,15.0,22.0,37.0,,,0.5109747694571796,643.5109747694572
Haiti,,,,,0.0,,0.0,,,0.0,38.0,,,594.0,,,,,,,,2.0721022646638665,634.0721022646638
Malta,0.0,2.0,2.0,4.0,3.0,,,0.0,2.0,1.0,7.0,10.0,1.0,9.0,7.0,4.0,11.0,7.0,386.0,98.0,,2.970049274455405,556.9700492744554
Norway,11.0,18.0,83.0,181.0,18.0,35.0,30.0,16.0,12.0,12.0,16.0,,24.0,8.0,7.0,,5.0,6.0,1.0,,,1.533484307226999,484.533484307227
Vanuatu,383.0,,,,,,,,,,0.0,,50.0,,,,0.0,0.0,,,,1.9295746762334167,434.9295746762334
Cook Islands,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.8631376524556527,424.86313765245563
Greece,1.0,7.0,4.0,4.0,1.0,0.0,2.0,1.0,2.0,21.0,5.0,23.0,,33.0,3.0,,156.0,50.0,32.0,47.0,,1.7151135241908584,393.7151135241909
Denmark,17.0,11.0,15.0,15.0,41.0,60.0,15.0,13.0,32.0,17.0,24.0,11.0,13.0,11.0,8.0,3.0,12.0,15.0,34.0,,,0.7056531001029861,367.705653100103
Cabo Verde,0.0,0.0,,1.0,1.0,11.0,40.0,198.0,42.0,3.0,13.0,,,,,,2.0,,,,,2.0648249897744457,313.0648249897744
Montenegro,1.0,5.0,5.0,,,48.0,104.0,57.0,13.0,9.0,15.0,18.0,23.0,,,,,,,,,1.1481532713089175,299.1481532713089
Brunei Darussalam,1.0,0.0,3.0,3.0,3.0,,14.0,19.0,12.0,1.0,41.0,,,25.0,21.0,27.0,,35.0,33.0,57.0,,0.9214953561836159,295.92149535618364
Slovenia,0.0,3.0,0.0,1.0,1.0,1.0,8.0,4.0,5.0,27.0,32.0,22.0,23.0,13.0,22.0,42.0,36.0,43.0,,,,0.975109112460603,283.9751091124606
Iceland,3.0,8.0,8.0,71.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,29.0,84.0,0.0,0.0,,0.0,0.0,,,2.097133641867038,216.09713364186703
Comoros (the),27.0,64.0,7.0,0.0,,,,,0.0,109.0,,0.0,0.0,,,,,,,,,1.5595583099721595,208.55955830997215
Belize,11.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,,24.0,30.0,,,3.0,,,,,1.4733965643700397,121.47339656437003
Malaysia,,,103.0,,,,,,,,,,,,,,,,,,,,103.0
Algeria,,0.0,0.0,67.0,,27.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,2.0630932787919942,96.063093278792
Lao People's Democratic Republic (the),0.0,0.0,0.0,0.0,0.0,27.0,,54.0,,,,,,,,,,,,,,1.8358568490953673,82.83585684909536
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,,0.0,0.0,1.0,4.0,,,,3.8482446240319144,81.84824462403192
Samoa,50.0,0.0,,,,,0.0,0.0,1.0,0.0,,,0.0,1.0,0.0,21.0,,,,,,2.24167896461296,75.24167896461296
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,0.0,0.0,24.0,20.0,15.0,,,,1.9263856344601207,73.92638563446012
United Republic of Tanzania,,,,,,,,,,,71.0,,,,,,,,,,,,71.0
Finland,4.0,10.0,6.0,2.0,,1.0,,2.0,4.0,2.0,5.0,6.0,8.0,6.0,1.0,,7.0,2.0,,,,0.6241877839323593,66.62418778393236
Andorra,31.0,5.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,,4.0,,,,2.0290238172995996,63.0290238172996
Suriname,9.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,37.0,,,,,2.338112914378395,61.33811291437839
Luxembourg,0.0,1.0,0.0,0.0,,5.0,0.0,0.0,0.0,25.0,26.0,0.0,1.0,1.0,0.0,,,,0.0,,,2.2504291597664614,61.25042915976646
Jamaica,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,11.0,9.0,10.0,,,1.3595914419004296,51.35959144190043
Mauritius,,0.0,,13.0,3.0,14.0,11.0,0.0,2.0,1.0,3.0,2.0,1.0,,,,,,0.0,,,1.2651410269933616,51.26514102699336
Timor-Leste,26.0,21.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,2.3513023151140704,49.35130231511407
Cyprus,3.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,5.0,14.0,,0.0,,0.0,,,1.4217388872133427,42.421738887213344
Zimbabwe,2.0,18.0,14.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,1.43654718685785,35.43654718685785
Sao Tome and Principe,0.0,15.0,7.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,,,1.9294964966978387,33.92949649669784
Tonga,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,,0.0,0.0,1.0,,2.8930465929503053,31.893046592950306
Afghanistan,,,29.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,2.0,31.0
South Africa,0.0,,,,,,,,,,,,,,,,24.0,,,,,1.414213562373095,25.414213562373096
Angola,,,,,,,,,0.0,0.0,,,,,23.0,,0.0,,,,,2.0,25.0
Marshall Islands (the),,,,,,,3.0,0.0,1.0,2.0,,0.0,0.0,0.0,,6.0,11.0,0.0,0.0,0.0,,1.7722149510195675,24.772214951019567
San Marino,0.0,0.0,0.0,2.0,,,2.0,1.0,2.0,0.0,,0.0,0.0,1.0,0.0,,,,11.0,,,2.045308574587616,21.045308574587615
