Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
Iran (Islamic Republic of),1.0,5.0,3.0,11.0,6.0,10.0,13.0,18.0,14.0,8.0,10.0,11.0,11.0,8.0,11.0,9.0,16.0,22.0,27.0,26.0,41.0,23.0,42.0,26.0,43.0,37.0,35.0,14.0,30.0,56.0,101.0,111.0,172.0,236.0,294.0,359.0,302.0,120.0,86.0,1.4862597022313955,2369.486259702231
Dominican Republic (the),44.0,46.0,46.0,37.0,45.0,55.0,40.0,45.0,50.0,59.0,66.0,64.0,69.0,54.0,49.0,53.0,58.0,37.0,25.0,36.0,12.0,27.0,27.0,52.0,52.0,68.0,58.0,54.0,56.0,53.0,104.0,176.0,45.0,91.0,90.0,107.0,100.0,92.0,113.0,0.5005724509543181,2355.500572450954
Côte d'Ivoire,368.0,138.0,3.0,9.0,12.0,15.0,9.0,,,8.0,15.0,31.0,,2.0,,12.0,20.0,,,,,515.0,351.0,,,,455.0,,384.0,,,,,,,,,,,1.373946379115124,2348.3739463791153
Papua New Guinea,0.0,0.0,0.0,0.0,0.0,27.0,32.0,56.0,32.0,125.0,,,58.0,50.0,50.0,,,,138.0,52.0,47.0,,,,182.0,231.0,228.0,124.0,115.0,96.0,146.0,73.0,76.0,61.0,47.0,39.0,40.0,60.0,68.0,0.8559604372617861,2253.8559604372617
Morocco,26.0,,,,,23.0,69.0,16.0,20.0,41.0,27.0,32.0,32.0,,19.0,5.0,18.0,18.0,7.0,17.0,18.0,24.0,24.0,29.0,35.0,24.0,49.0,75.0,73.0,96.0,132.0,189.0,181.0,171.0,171.0,162.0,161.0,100.0,81.0,0.9246309048214224,2165.9246309048212
Central African Republic (the),119.0,105.0,,96.0,24.0,68.0,74.0,49.0,20.0,15.0,25.0,68.0,,20.0,36.0,,,,37.0,,,39.0,,87.0,,,,,34.0,57.0,45.0,96.0,67.0,124.0,145.0,201.0,137.0,70.0,217.0,0.6929422329589374,2075.692942232959
Paraguay,5.0,10.0,4.0,3.0,8.0,6.0,5.0,10.0,8.0,12.0,14.0,10.0,11.0,17.0,12.0,22.0,13.0,15.0,13.0,23.0,19.0,30.0,16.0,42.0,36.0,33.0,39.0,45.0,50.0,80.0,64.0,59.0,111.0,136.0,172.0,198.0,190.0,190.0,188.0,1.23981496050449,1920.2398149605046
Algeria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,11.0,9.0,18.0,13.0,,,20.0,,24.0,25.0,31.0,26.0,,21.0,57.0,44.0,42.0,38.0,63.0,50.0,415.0,129.0,343.0,74.0,79.0,100.0,164.0,86.0,1.673848643155905,1896.673848643156
Argentina,,8.0,8.0,10.0,8.0,11.0,10.0,1.0,5.0,15.0,8.0,6.0,5.0,14.0,25.0,25.0,18.0,11.0,12.0,18.0,22.0,24.0,41.0,43.0,43.0,32.0,41.0,56.0,49.0,88.0,81.0,76.0,71.0,76.0,171.0,141.0,168.0,204.0,219.0,1.181680738626896,1865.181680738627
Liberia,14.0,22.0,6.0,2.0,0.0,8.0,12.0,3.0,4.0,4.0,8.0,13.0,,13.0,1.0,,,142.0,,,,,,,,,,,228.0,,351.0,,,,,153.0,185.0,309.0,307.0,1.4224108390882395,1786.4224108390881
