Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV
San Marino,0.0,0.0,13.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,3.0,,0.0,,,,,,,,,5.0,3.0,7.0,2.068192938041881
Kiribati,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,11.0,202.0,466.0,335.0,68.0,169.0,13.0,63.0,143.0,830.0,0.0,0.0,22.0,104.0,188.0,1.0,0.0,19.0,101.0,161.0,2.06460673743488
Azerbaijan,0.0,0.0,0.0,0.0,0.0,4.0,18.0,27.0,15.0,5.0,5.0,12.0,60.0,2.0,2.0,1.0,3.0,12.0,11.0,22.0,43.0,52.0,15.0,34.0,104.0,417.0,89.0,150.0,63.0,,,,,,,,,,,2.053728811794758
South Africa,955.0,102.0,40.0,103.0,230.0,116.0,,181.0,,4.0,,,,,,8.0,5.0,24.0,8.0,34.0,39.0,23.0,14.0,,,,,,,,,,,,,,,,,2.0486505301170763
Iran (Islamic Republic of),335.0,14.0,116.0,145.0,115.0,1415.0,1329.0,650.0,464.0,590.0,605.0,267.0,89.0,125.0,98.0,81.0,21.0,112.0,94.0,24.0,20.0,50.0,80.0,45.0,15.0,34.0,350.0,628.0,1230.0,2699.0,3327.0,6123.0,7829.0,11519.0,13178.0,15055.0,29956.0,22521.0,20395.0,2.0085994822963062
Zimbabwe,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,30.0,0.0,36.0,20.0,34.0,142.0,211.0,,595.0,491.0,728.0,839.0,2631.0,1961.0,2154.0,1765.0,1511.0,2594.0,2629.0,6290.0,1.9901437488964
Algeria,17.0,6.0,2.0,0.0,0.0,69.0,104.0,1.0,0.0,1.0,28.0,0.0,23.0,18.0,7.0,22.0,57.0,137.0,,4.0,10.0,30.0,9.0,,4.0,44.0,25.0,16.0,23.0,32.0,45.0,69.0,24.0,520.0,894.0,395.0,663.0,967.0,710.0,1.9863600962621144
Andorra,2.0,0.0,3.0,16.0,1.0,6.0,3.0,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.9614945425769943
United Republic of Tanzania,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,,,,,,,,,,45.0,243.0,9236.0,630.0,784.0,2541.0,2135.0,839.0,2016.0,2125.0,2604.0,2788.0,1.949624496656559
Bangladesh,3.0,0.0,1.0,11.0,12.0,1.0,13.0,44.0,17.0,16.0,33.0,87.0,46.0,125.0,140.0,332.0,587.0,16.0,252.0,520.0,814.0,673.0,1293.0,1289.0,1984.0,4190.0,10242.0,14605.0,4879.0,83057.0,19803.0,34423.0,31978.0,23897.0,10326.0,24002.0,52237.0,17000.0,12436.0,1.9296314060788113
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,15.0,7.0,19.0,38.0,15.0,19.0,17.0,5.0,11.0,22.0,8.0,17.0,17.0,21.0,28.0,212.0,132.0,83.0,137.0,110.0,1.9202506787760867
Malta,5.0,9.0,0.0,0.0,1.0,,,8.0,2.0,0.0,1.0,0.0,2.0,7.0,6.0,7.0,4.0,1.0,3.0,60.0,4.0,12.0,10.0,59.0,36.0,1.0,2.0,251.0,106.0,3.0,9.0,7.0,210.0,140.0,4.0,15.0,144.0,68.0,2.0,1.9093801611156977
Bhutan,8.0,15.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,18.0,466.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,8.0,3.0,225.0,219.0,90.0,160.0,213.0,224.0,392.0,795.0,534.0,464.0,1.8988037539457843
Montenegro,57.0,19.0,8.0,,,0.0,2.0,8.0,1.0,1.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8917847169347495
Viet Nam,700.0,555.0,267.0,309.0,90.0,54.0,98.0,105.0,81.0,122.0,280.0,183.0,144.0,194.0,328.0,716.0,662.0,1242.0,1426.0,903.0,1182.0,1565.0,1537.0,2444.0,3477.0,2507.0,4428.0,4669.0,4095.0,11281.0,21672.0,30498.0,43981.0,44011.0,49575.0,85023.0,59840.0,75187.0,96577.0,1.8754105920380453
Armenia,160.0,77.0,15.0,27.0,85.0,30.0,8.0,1.0,4.0,11.0,3.0,1.0,2.0,6.0,7.0,3.0,3.0,1.0,10.0,13.0,19.0,5.0,2.0,12.0,329.0,98.0,124.0,327.0,469.0,,,,,,,,,,,1.8701187972565183
Libya,910.0,,,,,,197.0,,,16.0,22.0,94.0,118.0,41.0,27.0,,21.0,10.0,,,18.0,2.0,,,14.0,15.0,81.0,108.0,43.0,53.0,15.0,77.0,157.0,158.0,39.0,30.0,87.0,220.0,25.0,1.842702894099138
Singapore,114.0,79.0,,,,17.0,24.0,29.0,8.0,13.0,33.0,38.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,1.0,2.0,1.0,14.0,5.0,8.0,1.0,11.0,9.0,9.0,0.0,1.0,7.0,7.0,5.0,5.0,1.840447808227914
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,,0.0,,0.0,0.0,0.0,0.0,,30.0,,,,35938.0,24902.0,25712.0,14374.0,19211.0,26921.0,18627.0,29769.0,1.8344650135720975
Madagascar,180.0,0.0,321.0,413.0,,19.0,33.0,369.0,0.0,255.0,,0.0,0.0,,2974.0,8021.0,2428.0,104.0,3880.0,3244.0,1168.0,807.0,1263.0,1565.0,,,,,1333.0,1689.0,2426.0,4436.0,5449.0,12515.0,9958.0,20891.0,43365.0,31592.0,32457.0,1.8283233474242993
Turkmenistan,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,49.0,8.0,11.0,7.0,13.0,49.0,82.0,31.0,108.0,173.0,209.0,189.0,260.0,,,,,,,,,,,1.8272484946219223
Equatorial Guinea,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,4.0,,,,,,67.0,166.0,356.0,247.0,15.0,4.0,288.0,,,,,1.8212962015411716
Oman,128.0,276.0,223.0,120.0,165.0,309.0,165.0,88.0,32.0,38.0,58.0,75.0,39.0,36.0,76.0,149.0,96.0,54.0,190.0,205.0,484.0,694.0,73.0,108.0,168.0,233.0,45.0,26.0,49.0,25.0,16.0,5.0,207.0,765.0,830.0,2605.0,2776.0,2236.0,1534.0,1.788567865034276
Greece,19.0,41.0,87.0,17.0,16.0,28.0,56.0,3.0,64.0,27.0,22.0,29.0,,24.0,23.0,,16.0,93.0,13.0,36.0,86.0,106.0,96.0,196.0,264.0,234.0,480.0,649.0,752.0,648.0,883.0,2784.0,1728.0,1020.0,1504.0,5470.0,2082.0,1351.0,3083.0,1.7834063794238717
Tajikistan,0.0,36.0,6.0,,6.0,2.0,5.0,56.0,12.0,6.0,7.0,46.0,22.0,22.0,74.0,23.0,53.0,24.0,13.0,80.0,66.0,284.0,86.0,192.0,662.0,1094.0,1115.0,581.0,935.0,,,,,,,,,,,1.7783469360832076
Pakistan,0.0,99.0,0.0,0.0,0.0,250.0,60.0,156.0,109.0,164.0,169.0,267.0,313.0,133.0,97.0,167.0,233.0,109.0,160.0,222.0,103.0,238.0,201.0,180.0,411.0,473.0,276.0,140.0,24545.0,1324.0,62382.0,47676.0,53835.0,55659.0,38677.0,51680.0,50932.0,58280.0,42947.0,1.777831875496511
Romania,93.0,95.0,72.0,93.0,87.0,57.0,82.0,86.0,29.0,10.0,51.0,35.0,33.0,57.0,231.0,94.0,90.0,209.0,493.0,82.0,97.0,263.0,927.0,510.0,732.0,1551.0,822.0,2463.0,817.0,696.0,1675.0,4762.0,1841.0,1810.0,5896.0,4346.0,6566.0,7350.0,11441.0,1.7737524126370359
Malaysia,892.0,353.0,298.0,939.0,500.0,222.0,217.0,248.0,41.0,5.0,11.0,15.0,6.0,8.0,40.0,28.0,6.0,26.0,42.0,17.0,6.0,3.0,7.0,8.0,12.0,15.0,25.0,20.0,24.0,25.0,27.0,121.0,68.0,150.0,57.0,86.0,126.0,106.0,97.0,1.7534536478354363
Honduras,74.0,266.0,151.0,30.0,41.0,25.0,48.0,113.0,135.0,127.0,224.0,71.0,138.0,134.0,104.0,93.0,69.0,37.0,169.0,145.0,59.0,191.0,200.0,0.0,3.0,15.0,425.0,89.0,65.0,52.0,143.0,519.0,331.0,335.0,630.0,550.0,1151.0,1812.0,2503.0,1.7523169851719989
Guinea,,0.0,0.0,,,0.0,,,0.0,25.0,0.0,0.0,38.0,15.0,52.0,108.0,81.0,267.0,247.0,176.0,160.0,515.0,180.0,,,,,,412.0,314.0,317.0,1759.0,647.0,625.0,1328.0,1963.0,4589.0,4141.0,2315.0,1.7433740951696872
